Protein	Entry	Protein description	Gene.names	Gene	Mitochondrion	Annotation (general)	AgingAnnotation (elife paper)	ENSG	name	type	description	r_CTR_lower	r_CTR	r_CTR_upper	r_PAD_lower	r_PAD	r_PAD_upper	diff	r_CTR_pval	r_PAD_pval
AAPK1_HUMAN	Q13131	5'-AMP-activated protein kinase catalytic subunit alpha-1 (AMPK subunit alpha-1) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (EC 2.7.11.27) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31) (Tau-protein kinase PRKAA1) (EC 2.7.11.26)	PRKAA1 AMPK1	PRKAA1	FALSE	Metabolism	Proteostasis	ENSG00000132356	PRKAA1	protein_coding	protein kinase AMP-activated catalytic subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:9376]	-0.28371063508245	0.099945068481568	0.456018350039394	-0.121661404730575	0.243161280442781	0.550103494555276	0	0.612844143460976	0.18746519396964
AAPK2_HUMAN	P54646	5'-AMP-activated protein kinase catalytic subunit alpha-2 (AMPK subunit alpha-2) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (EC 2.7.11.27) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31)	PRKAA2 AMPK AMPK2	PRKAA2	FALSE	Metabolism	Proteostasis	ENSG00000162409	PRKAA2	protein_coding	protein kinase AMP-activated catalytic subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:9377]	-0.602826618364504	-0.296413234699458	0.0861956327074552	-0.465624647102865	-0.133273205932705	0.232024026745647	0	0.125616971860417	0.4747705833218
EPM2A_HUMAN	O95278	Laforin (EC 3.1.3.-) (EC 3.1.3.16) (EC 3.1.3.48) (Glucan phosphatase) (Glycogen phosphatase) (Lafora PTPase) (LAFPTPase)	EPM2A	EPM2A	FALSE	Metabolism	Proteostasis	ENSG00000112425	EPM2A	protein_coding	EPM2A glucan phosphatase, laforin [Source:HGNC Symbol;Acc:HGNC:3413]	-0.1602154816325	0.226393603894993	0.552781383894115	-0.339000701763239	0.0174335649529928	0.369491185738934	0	0.246675252067708	0.925836813430434
RAB7A_HUMAN	P51149	Ras-related protein Rab-7a (EC 3.6.5.2)	RAB7A RAB7	RAB7A	FALSE	Metabolism	Proteostasis	ENSG00000075785	RAB7A	protein_coding	RAB7A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9788]	-0.466844830547659	-0.113543698378413	0.271013507180344	-0.285892567288017	0.0761631209728652	0.419190280527471	0	0.56509524454366	0.683843215859343
SAP_HUMAN	P07602	Prosaposin (Proactivator polypeptide) [Cleaved into: Saposin-A (Protein A); Saposin-B-Val; Saposin-B (Cerebroside sulfate activator) (CSAct) (Dispersin) (Sphingolipid activator protein 1) (SAP-1) (Sulfatide/GM1 activator); Saposin-C (A1 activator) (Co-beta-glucosidase) (Glucosylceramidase activator) (Sphingolipid activator protein 2) (SAP-2); Saposin-D (Component C) (Protein C)]	PSAP GLBA SAP1	PSAP	FALSE	Metabolism	Proteostasis	ENSG00000197746	PSAP	protein_coding	prosaposin [Source:HGNC Symbol;Acc:HGNC:9498]	-0.256109789958728	0.12932385931032	0.47927676330798	-0.268744871028825	0.0946041242970108	0.434382846441422	0	0.511900676717345	0.612698276604649
STBD1_HUMAN	O95210	Starch-binding domain-containing protein 1 (Genethonin-1) (Glycophagy cargo receptor STBD1)	STBD1 GENX-3414	STBD1	FALSE	Metabolism	Proteostasis	ENSG00000118804	STBD1	protein_coding	starch binding domain 1 [Source:HGNC Symbol;Acc:HGNC:24854]	-0.304953858664221	0.0768684945735222	0.43740167827059	-0.449690486672841	-0.113423679334562	0.251004449990661	0	0.697437919664278	0.543498988893567
BAK_HUMAN	Q16611	Bcl-2 homologous antagonist/killer (Apoptosis regulator BAK) (Bcl-2-like protein 7) (Bcl2-L-7)	BAK1 BAK BCL2L7 CDN1	BAK1	TRUE	Mitochondria	Proteostasis	ENSG00000030110	BAK1	protein_coding	BCL2 antagonist/killer 1 [Source:HGNC Symbol;Acc:HGNC:949]	-0.741775068320611	0.406565209923145	0.948577862023909	-0.951809753041822	-0.433967149215822	0.726431466990006	0	0.496982401409738	0.46532534239277
BAX_HUMAN	Q07812	Apoptosis regulator BAX (Bcl-2-like protein 4) (Bcl2-L-4)	BAX BCL2L4	BAX	TRUE	Mitochondria	Proteostasis	ENSG00000087088	BAX	protein_coding	BCL2 associated X, apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:959]	-0.459755043465695	0.294193842661761	0.801682423930686	-0.381917854795151	0.326131932205607	0.792935808847758	0	0.442233610584805	0.357746695451823
BECN1_HUMAN	Q14457	Beclin-1 (Coiled-coil myosin-like BCL2-interacting protein) (Protein GT197) [Cleaved into: Beclin-1-C 35 kDa; Beclin-1-C 37 kDa]	BECN1 GT197	BECN1	TRUE	Mitochondria	Proteostasis	ENSG00000126581	BECN1	protein_coding	beclin 1 [Source:HGNC Symbol;Acc:HGNC:1034]	-0.700846581693395	-0.127468481926913	0.545976534961593	-0.739863191348835	-0.206373256511019	0.486463100870189	0	0.72564930624012	0.567299019165719
BL1S1_HUMAN	P78537	Biogenesis of lysosome-related organelles complex 1 subunit 1 (BLOC-1 subunit 1) (GCN5-like protein 1) (Protein RT14)	BLOC1S1 BLOS1 GCN5L1 RT14	BLOC1S1	TRUE	Mitochondria	Proteostasis	ENSG00000135441	BLOC1S1	protein_coding	biogenesis of lysosomal organelles complex 1 subunit 1 [Source:HGNC Symbol;Acc:HGNC:4200]	-0.620980890216739	-0.13482275181049	0.426248059795641	-0.744085640782389	-0.374613113092273	0.170337576220659	0	0.645849382254435	0.168907603957054
CISD2_HUMAN	Q8N5K1	CDGSH iron-sulfur domain-containing protein 2 (Endoplasmic reticulum intermembrane small protein) (MitoNEET-related 1 protein) (Miner1) (Nutrient-deprivation autophagy factor-1) (NAF-1)	CISD2 CDGSH2 ERIS ZCD2	CISD2	TRUE	Mitochondria	Proteostasis	ENSG00000145354	CISD2	protein_coding	CDGSH iron sulfur domain 2 [Source:HGNC Symbol;Acc:HGNC:24212]	-0.571868601474226	-0.208912401825262	0.222445476880599	-0.427687158901137	-0.0483441804118402	0.345477238507519	0	0.338744648404098	0.81458036766789
KS6B1_HUMAN	P23443	Ribosomal protein S6 kinase beta-1 (S6K-beta-1) (S6K1) (EC 2.7.11.1) (70 kDa ribosomal protein S6 kinase 1) (P70S6K1) (p70-S6K 1) (Ribosomal protein S6 kinase I) (Serine/threonine-protein kinase 14A) (p70 ribosomal S6 kinase alpha) (p70 S6 kinase alpha) (p70 S6K-alpha) (p70 S6KA)	RPS6KB1 STK14A	RPS6KB1	TRUE	Mitochondria	Proteostasis	ENSG00000108443	RPS6KB1	protein_coding	ribosomal protein S6 kinase B1 [Source:HGNC Symbol;Acc:HGNC:10436]	-0.30705766410278	0.120381132548859	0.50740517169333	-0.310927553604747	0.0868891780805818	0.458799445540053	0	0.584290509091317	0.672981416855774
MFN2_HUMAN	O95140	Mitofusin-2 (EC 3.6.5.-) (Transmembrane GTPase MFN2)	MFN2 CPRP1 KIAA0214	MFN2	TRUE	Mitochondria	Proteostasis	ENSG00000116688	MFN2	protein_coding	mitofusin 2 [Source:HGNC Symbol;Acc:HGNC:16877]	-0.256986697356717	0.128400757597326	0.47855337163005	-0.358782602904576	-0.00508951902212606	0.349881584582401	0	0.514943204160005	0.978321860635381
SEC20_HUMAN	Q12981	Vesicle transport protein SEC20 (BCL2/adenovirus E1B 19 kDa protein-interacting protein 1) (Transformation-related gene 8 protein) (TRG-8)	BNIP1 NIP1 SEC20L TRG8	BNIP1	TRUE	Mitochondria	Proteostasis	ENSG00000113734	BNIP1	protein_coding	BCL2 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:1082]	-0.420504763208504	0.0576913365031363	0.510803252231844	-0.702287394066623	-0.388329878369516	0.0520889258506719	0	0.82012799242212	0.0819278754490813
SHLB1_HUMAN	Q9Y371	Endophilin-B1 (Bax-interacting factor 1) (Bif-1) (SH3 domain-containing GRB2-like protein B1)	SH3GLB1 KIAA0491 CGI-61	SH3GLB1	TRUE	Mitochondria	Proteostasis	ENSG00000097033	SH3GLB1	protein_coding	SH3 domain containing GRB2 like, endophilin B1 [Source:HGNC Symbol;Acc:HGNC:10833]	-0.605721848371725	-0.300567393970786	0.0816672749219501	-0.490326996760487	-0.164581720939877	0.20151004282676	0	0.120154199431708	0.376291204587743
VATA_HUMAN	P38606	V-type proton ATPase catalytic subunit A (V-ATPase subunit A) (EC 7.1.2.2) (V-ATPase 69 kDa subunit) (Vacuolar ATPase isoform VA68) (Vacuolar proton pump subunit alpha)	ATP6V1A ATP6A1 ATP6V1A1 VPP2	ATP6V1A	FALSE	Mitochondria	Proteostasis	ENSG00000114573	ATP6V1A	protein_coding	ATPase H+ transporting V1 subunit A [Source:HGNC Symbol;Acc:HGNC:851]	-0.0726759952397261	0.308772921169243	0.611417022055685	-0.210466622371649	0.15546778227421	0.483189718581303	0	0.109881186451411	0.403643466984503
ASAH1_HUMAN	Q13510	Acid ceramidase (AC) (ACDase) (Acid CDase) (EC 3.5.1.23) (Acylsphingosine deacylase) (N-acylethanolamine hydrolase ASAH1) (EC 3.5.1.-) (N-acylsphingosine amidohydrolase) (Putative 32 kDa heart protein) (PHP32) [Cleaved into: Acid ceramidase subunit alpha; Acid ceramidase subunit beta]	ASAH1 ASAH HSD-33 HSD33	ASAH1	FALSE	Other	Proteostasis	ENSG00000104763	ASAH1	protein_coding	N-acylsphingosine amidohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:735]	-0.358706060869255	0.01659118191646	0.387270985535326	-0.219340886748582	0.146375742644939	0.476025922091498	0	0.933219269902464	0.432019544795549
CATB_HUMAN	P07858	Cathepsin B (EC 3.4.22.1) (APP secretase) (APPS) (Cathepsin B1) [Cleaved into: Cathepsin B light chain; Cathepsin B heavy chain]	CTSB CPSB	CTSB	FALSE	Other	Proteostasis	ENSG00000164733	CTSB	protein_coding	cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527]	-0.418950136622366	-0.0543715091657132	0.325304134313236	-0.320924183160475	0.0377034320207258	0.386874964808087	0	0.783475308867026	0.840410423460262
CDN1B_HUMAN	P46527	Cyclin-dependent kinase inhibitor 1B (Cyclin-dependent kinase inhibitor p27) (p27Kip1)	CDKN1B KIP1	CDKN1B	FALSE	Other	Proteostasis	ENSG00000111276	CDKN1B	protein_coding	cyclin dependent kinase inhibitor 1B [Source:HGNC Symbol;Acc:HGNC:1785]	-0.965959903457372	-0.0680291603502072	0.955532497561726	-0.725665456631031	0.435281113046298	0.951961890196538	0	0.931970839649793	0.46381862715091
GALNS_HUMAN	P34059	N-acetylgalactosamine-6-sulfatase (EC 3.1.6.4) (Chondroitinsulfatase) (Chondroitinase) (Galactose-6-sulfate sulfatase) (GalN6S) (N-acetylgalactosamine-6-sulfate sulfatase) (GalNAc6S sulfatase)	GALNS	GALNS	FALSE	Other	Proteostasis	ENSG00000141012	GALNS	protein_coding	galactosamine (N-acetyl)-6-sulfatase [Source:HGNC Symbol;Acc:HGNC:4122]	-0.881179518147323	0.00488355346480986	0.88334400737836	-0.532208886736613	0.659925648512623	0.974695105787597	0	0.993782091325211	0.225525095095588
GNS_HUMAN	P15586	N-acetylglucosamine-6-sulfatase (EC 3.1.6.14) (Glucosamine-6-sulfatase) (G6S)	GNS	GNS	FALSE	Other	Proteostasis	ENSG00000135677	GNS	protein_coding	glucosamine (N-acetyl)-6-sulfatase [Source:HGNC Symbol;Acc:HGNC:4422]	-0.148578307309522	0.280822656444271	0.621125956541858	-0.346354452820892	0.0473500146597746	0.426872631412408	0	0.194294761182065	0.818330375923061
HEXA_HUMAN	P06865	Beta-hexosaminidase subunit alpha (EC 3.2.1.52) (Beta-N-acetylhexosaminidase subunit alpha) (Hexosaminidase subunit A) (N-acetyl-beta-glucosaminidase subunit alpha)	HEXA	HEXA	FALSE	Other	Proteostasis	ENSG00000213614	HEXA	protein_coding	hexosaminidase subunit alpha [Source:HGNC Symbol;Acc:HGNC:4878]	-0.615563299630789	-0.22397667459752	0.256307343673311	-0.351160267457972	0.108169608475365	0.525534474412495	0	0.356633189603868	0.649874288194585
HEXB_HUMAN	P07686	Beta-hexosaminidase subunit beta (EC 3.2.1.52) (Beta-N-acetylhexosaminidase subunit beta) (Hexosaminidase subunit B) (Cervical cancer proto-oncogene 7 protein) (HCC-7) (N-acetyl-beta-glucosaminidase subunit beta) [Cleaved into: Beta-hexosaminidase subunit beta chain B; Beta-hexosaminidase subunit beta chain A]	HEXB HCC7	HEXB	FALSE	Other	Proteostasis	ENSG00000049860	HEXB	protein_coding	hexosaminidase subunit beta [Source:HGNC Symbol;Acc:HGNC:4879]	-0.426964068313284	-0.0640972132107971	0.316549422329273	-0.372528179560094	-0.0209540263532156	0.335879952538899	0	0.745907405212388	0.910914741128342
HGS_HUMAN	O14964	Hepatocyte growth factor-regulated tyrosine kinase substrate (Hrs) (Protein pp110)	HGS HRS	HGS	FALSE	Other	Proteostasis	ENSG00000185359	HGS	protein_coding	hepatocyte growth factor-regulated tyrosine kinase substrate [Source:HGNC Symbol;Acc:HGNC:4897]	-0.499896254989038	-0.110454056492871	0.316141870233645	-0.270521345871635	0.130505911816522	0.49293894042258	0	0.615865727236859	0.525134111537184
LAMP1_HUMAN	P11279	Lysosome-associated membrane glycoprotein 1 (LAMP-1) (Lysosome-associated membrane protein 1) (CD107 antigen-like family member A) (CD antigen CD107a)	LAMP1	LAMP1	FALSE	Other	Proteostasis	ENSG00000185896	LAMP1	protein_coding	lysosomal associated membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:6499]	-0.69102967146481	-0.345154865412457	0.129329779710617	-0.28842416018769	0.176642104706126	0.574273211940149	1	0.147819486155271	0.45627748630617
LYAG_HUMAN	P10253	Lysosomal alpha-glucosidase (EC 3.2.1.20) (Acid maltase) (Aglucosidase alfa) [Cleaved into: 76 kDa lysosomal alpha-glucosidase; 70 kDa lysosomal alpha-glucosidase]	GAA	GAA	FALSE	Other	Proteostasis	ENSG00000171298	GAA	protein_coding	alpha glucosidase [Source:HGNC Symbol;Acc:HGNC:4065]	-0.439368142152927	-0.0792879440354044	0.302744313533851	-0.366190267120846	-0.0136170383454185	0.342375062786273	0	0.688378541978074	0.942041616212863
MK08_HUMAN	P45983	Mitogen-activated protein kinase 8 (MAP kinase 8) (MAPK 8) (EC 2.7.11.24) (JNK-46) (Stress-activated protein kinase 1c) (SAPK1c) (Stress-activated protein kinase JNK1) (c-Jun N-terminal kinase 1)	MAPK8 JNK1 PRKM8 SAPK1 SAPK1C	MAPK8	FALSE	Other	Proteostasis	ENSG00000107643	MAPK8	protein_coding	mitogen-activated protein kinase 8 [Source:HGNC Symbol;Acc:HGNC:6881]	-0.837414836360824	-0.43953935576146	0.262821668901561	-0.177509961711277	0.509005283937449	0.862284093164928	1	0.203721290167078	0.132952106350144
MPRI_HUMAN	P11717	Cation-independent mannose-6-phosphate receptor (CI Man-6-P receptor) (CI-MPR) (M6PR) (300 kDa mannose 6-phosphate receptor) (MPR 300) (Insulin-like growth factor 2 receptor) (Insulin-like growth factor II receptor) (IGF-II receptor) (M6P/IGF2 receptor) (M6P/IGF2R) (CD antigen CD222)	IGF2R MPRI	IGF2R	FALSE	Other	Proteostasis	ENSG00000197081	IGF2R	protein_coding	insulin like growth factor 2 receptor [Source:HGNC Symbol;Acc:HGNC:5467]	-0.354750004260154	0.0211224619483409	0.391117267884305	-0.545555300536215	-0.237037381996543	0.128058618741741	0	0.915038575735743	0.199168638614086
PI3R4_HUMAN	Q99570	Phosphoinositide 3-kinase regulatory subunit 4 (PI3-kinase regulatory subunit 4) (EC 2.7.11.1) (PI3-kinase p150 subunit) (Phosphoinositide 3-kinase adaptor protein)	PIK3R4 VPS15	PIK3R4	FALSE	Other	Proteostasis	ENSG00000196455	PIK3R4	protein_coding	phosphoinositide-3-kinase regulatory subunit 4 [Source:HGNC Symbol;Acc:HGNC:8982]	-0.415647520879552	-0.0503834835115371	0.32887528598174	-0.488315527923598	-0.162007536955512	0.20404600072965	0	0.799023730558642	0.383904544078947
PPGB_HUMAN	P10619	Lysosomal protective protein (EC 3.4.16.5) (Carboxypeptidase C) (Carboxypeptidase L) (Cathepsin A) (Protective protein cathepsin A) (PPCA) (Protective protein for beta-galactosidase) [Cleaved into: Lysosomal protective protein 32 kDa chain; Lysosomal protective protein 20 kDa chain]	CTSA PPGB	CTSA	FALSE	Other	Proteostasis	ENSG00000064601	CTSA	protein_coding	cathepsin A [Source:HGNC Symbol;Acc:HGNC:9251]	-0.58863769174261	-0.0844260596631397	0.467075988804223	-0.619537343589224	-0.157147891278632	0.386204838265274	0	0.774147924662208	0.575940219301858
PPT1_HUMAN	P50897	Palmitoyl-protein thioesterase 1 (PPT-1) (EC 3.1.2.22) (Palmitoyl-protein hydrolase 1)	PPT1 CLN1 PPT	PPT1	FALSE	Other	Proteostasis	ENSG00000131238	PPT1	protein_coding	palmitoyl-protein thioesterase 1 [Source:HGNC Symbol;Acc:HGNC:9325]	-0.436166685099871	-0.0753511816200843	0.306337439971456	-0.421698950154789	-0.0791920981814858	0.283091844269492	0	0.703140211970298	0.671952587111128
RAC1_HUMAN	P63000	Ras-related C3 botulinum toxin substrate 1 (EC 3.6.5.2) (Cell migration-inducing gene 5 protein) (Ras-like protein TC25) (p21-Rac1)	RAC1 TC25 MIG5	RAC1	FALSE	Other	Proteostasis	ENSG00000136238	RAC1	protein_coding	Rac family small GTPase 1 [Source:HGNC Symbol;Acc:HGNC:9801]	-0.355814874035903	0.019904273656016	0.390084502897106	-0.373043791116992	-0.0215525865606282	0.335348572296822	0	0.919922536556568	0.908380460934541
RISC_HUMAN	Q9HB40	Retinoid-inducible serine carboxypeptidase (EC 3.4.16.-) (Serine carboxypeptidase 1)	SCPEP1 RISC SCP1 MSTP034 UNQ265/PRO302	SCPEP1	FALSE	Other	Proteostasis	ENSG00000121064	SCPEP1	protein_coding	serine carboxypeptidase 1 [Source:HGNC Symbol;Acc:HGNC:29507]	-0.226656695018559	0.253667558942436	0.634742932047361	-0.500488168761744	-0.0877629330424279	0.357466871340366	0	0.294679992542771	0.705219030319659
TGM2_HUMAN	P21980	Protein-glutamine gamma-glutamyltransferase 2 (EC 2.3.2.13) (Erythrocyte transglutaminase) (Heart G alpha(h)) (hhG alpha(h)) (Isopeptidase TGM2) (EC 3.4.-.-) (Protein G alpha(h)) (G(h)) (Protein-glutamine deamidase TGM2) (EC 3.5.1.44) (Protein-glutamine dopaminyltransferase TGM2) (EC 2.3.1.-) (Protein-glutamine histaminyltransferase TGM2) (EC 2.3.1.-) (Protein-glutamine noradrenalinyltransferase TGM2) (EC 2.3.1.-) (Protein-glutamine serotonyltransferase TGM2) (EC 2.3.1.-) (Tissue transglutaminase) (tTG) (tTgase) (Transglutaminase C) (TG(C)) (TGC) (TGase C) (Transglutaminase H) (TGase H) (Transglutaminase II) (TGase II) (Transglutaminase-2) (TG2) (TGase-2) (hTG2)	TGM2	TGM2	TRUE	Other	Proteostasis	ENSG00000198959	TGM2	protein_coding	transglutaminase 2 [Source:HGNC Symbol;Acc:HGNC:11778]	-0.261293343113312	0.123857529311197	0.474986115836211	-0.368998648272796	-0.0168634405270251	0.339505357476351	0	0.530045257172655	0.928255841947829
TPP1_HUMAN	O14773	Tripeptidyl-peptidase 1 (TPP-1) (EC 3.4.14.9) (Cell growth-inhibiting gene 1 protein) (Lysosomal pepstatin-insensitive protease) (LPIC) (Tripeptidyl aminopeptidase) (Tripeptidyl-peptidase I) (TPP-I)	TPP1 CLN2 GIG1 UNQ267/PRO304	TPP1	FALSE	Other	Proteostasis	ENSG00000166340	TPP1	protein_coding	tripeptidyl peptidase 1 [Source:HGNC Symbol;Acc:HGNC:2073]	-0.247966546815064	0.137864289621601	0.485947025831108	-0.379912529499356	-0.0295504378871524	0.328226510841472	0	0.484176413023226	0.874612146701209
VATB2_HUMAN	P21281	V-type proton ATPase subunit B, brain isoform (V-ATPase subunit B 2) (Endomembrane proton pump 58 kDa subunit) (HO57) (Vacuolar proton pump subunit B 2)	ATP6V1B2 ATP6B2 VPP3	ATP6V1B2	FALSE	Other	Proteostasis	ENSG00000147416	ATP6V1B2	protein_coding	ATPase H+ transporting V1 subunit B2 [Source:HGNC Symbol;Acc:HGNC:854]	-0.46017244828381	-0.105147154022644	0.27886925123188	-0.439822646964012	-0.101264235019272	0.262494715298238	0	0.594380087402432	0.587789239406451
VATC1_HUMAN	P21283	V-type proton ATPase subunit C 1 (V-ATPase subunit C 1) (Vacuolar proton pump subunit C 1)	ATP6V1C1 ATP6C ATP6D VATC	ATP6V1C1	FALSE	Other	Proteostasis	ENSG00000155097	ATP6V1C1	protein_coding	ATPase H+ transporting V1 subunit C1 [Source:HGNC Symbol;Acc:HGNC:856]	-0.221094509733486	0.165645751886631	0.5073680415991	-0.492866160137907	-0.167837572216899	0.198295495153744	0	0.399566991332969	0.366789290690015
VATE1_HUMAN	P36543	V-type proton ATPase subunit E 1 (V-ATPase subunit E 1) (V-ATPase 31 kDa subunit) (p31) (Vacuolar proton pump subunit E 1)	ATP6V1E1 ATP6E ATP6E2	ATP6V1E1	FALSE	Other	Proteostasis	ENSG00000131100	ATP6V1E1	protein_coding	ATPase H+ transporting V1 subunit E1 [Source:HGNC Symbol;Acc:HGNC:857]	-0.29066286575411	0.0924380038664847	0.449996146411913	-0.585809109250162	-0.292102325235581	0.0694233605067286	-1	0.639899705695964	0.110819335309127
VATG1_HUMAN	O75348	V-type proton ATPase subunit G 1 (V-ATPase subunit G 1) (V-ATPase 13 kDa subunit 1) (Vacuolar proton pump subunit G 1) (Vacuolar proton pump subunit M16)	ATP6V1G1 ATP6G ATP6G1 ATP6J	ATP6V1G1	FALSE	Other	Proteostasis	ENSG00000136888	ATP6V1G1	protein_coding	ATPase H+ transporting V1 subunit G1 [Source:HGNC Symbol;Acc:HGNC:864]	-0.324644485183328	0.0551068386449186	0.419558035786861	-0.123867861887179	0.24105237279008	0.548539270521254	0	0.780617096796635	0.191439931666696
VP26A_HUMAN	O75436	Vacuolar protein sorting-associated protein 26A (Vesicle protein sorting 26A) (hVPS26)	VPS26A VPS26	VPS26A	FALSE	Other	Proteostasis	ENSG00000122958	VPS26A	protein_coding	VPS26, retromer complex component A [Source:HGNC Symbol;Acc:HGNC:12711]	-0.46795050682334	-0.114939975983342	0.269702173767415	-0.156671663685945	0.209287037843663	0.52471493119482	0	0.560289523999044	0.258499574554749
VPP1_HUMAN	Q93050	V-type proton ATPase 116 kDa subunit a1 (V-ATPase 116 kDa subunit a1) (Clathrin-coated vesicle/synaptic vesicle proton pump 116 kDa subunit) (Vacuolar adenosine triphosphatase subunit Ac116) (Vacuolar proton pump subunit 1) (Vacuolar proton translocating ATPase 116 kDa subunit a isoform 1)	ATP6V0A1 ATP6N1 ATP6N1A VPP1	ATP6V0A1	FALSE	Other	Proteostasis	ENSG00000033627	ATP6V0A1	protein_coding	ATPase H+ transporting V0 subunit a1 [Source:HGNC Symbol;Acc:HGNC:865]	-0.101086185451707	0.282650312803189	0.593176586173207	-0.276101675231495	0.0867228825307855	0.427913479399176	0	0.145015729240335	0.642729582082809
VPS35_HUMAN	Q96QK1	Vacuolar protein sorting-associated protein 35 (hVPS35) (Maternal-embryonic 3) (Vesicle protein sorting 35)	VPS35 MEM3 TCCCTA00141	VPS35	FALSE	Other	Proteostasis	ENSG00000069329	VPS35	protein_coding	VPS35 retromer complex component [Source:HGNC Symbol;Acc:HGNC:13487]	-0.697189599397916	-0.438052461549757	-0.0776687194980028	-0.0324737021456532	0.325613162275871	0.609617008621778	1	0.0197270748022406	0.0738552811385902
PSME1_HUMAN	Q06323	Proteasome activator complex subunit 1 (11S regulator complex subunit alpha) (REG-alpha) (Activator of multicatalytic protease subunit 1) (Interferon gamma up-regulated I-5111 protein) (IGUP I-5111) (Proteasome activator 28 subunit alpha) (PA28a) (PA28alpha)	PSME1 IFI5111	PSME1	FALSE	Proteasome	Proteostasis	ENSG00000092010	PSME1	protein_coding	proteasome activator subunit 1 [Source:HGNC Symbol;Acc:HGNC:9568]	-0.311187187299459	0.0700186836167267	0.431815572360588	-0.564775613668603	-0.26308470425048	0.100636938542556	0	0.723303694984589	0.152736793368708
